sep=,
Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Barajas, M., Bhatkande, S., Baskaran, P., Gohel, H., Pandey, B.","57454821200;57454668400;57454978100;57195539048;57203239026;","Advancing deep learning for supply chain optimization of covid-19 vaccination in rural communities",2021,"Proceedings - 2021 IEEE 10th International Conference on Communication Systems and Network Technologies, CSNT 2021",,,,"690","695",,,"10.1109/CSNT51715.2021.9509710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124690282&doi=10.1109%2fCSNT51715.2021.9509710&partnerID=40&md5=efecd617d5eeb36cc31a50434099d8e7",Conference Paper,"Final","",Scopus,2-s2.0-85124690282
"Cawood, P., Van Zyl, T.L.","57237828900;26532116600;","Feature-Weighted Stacking for Nonseasonal Time Series Forecasts: A Case Study of the COVID-19 Epidemic Curves",2021,"2021 8th International Conference on Soft Computing and Machine Intelligence, ISCMI 2021",,,,"53","59",,,"10.1109/ISCMI53840.2021.9654809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124385674&doi=10.1109%2fISCMI53840.2021.9654809&partnerID=40&md5=f4d6a473ef3bd93d0baf077fd5ea3e9d",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85124385674
"Tasnia, N., Mahmud, S., Mridha, M.F.","57439519300;57225007783;36761314400;","COVID-19 Future Forecasting Tool: Infected Patients Recovery and Hospitalization Trends Using Deep Learning Models",2021,"2021 International Conference on Science and Contemporary Technologies, ICSCT 2021",,,,"","",,,"10.1109/ICSCT53883.2021.9642691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123978251&doi=10.1109%2fICSCT53883.2021.9642691&partnerID=40&md5=082018ea039ef799bc12b5ab5dfbc552",Conference Paper,"Final","",Scopus,2-s2.0-85123978251
"Kumar, R.N.D., Chakrapani, A., Kannan, S.","57201767784;56404413400;57216227404;","Design and analysis on molecular level biomedical event trigger extraction using recurrent neural network-based particle swarm optimisation for COVID-19 research",2021,"International Journal of Computer Applications in Technology","66","3-4",,"334","339",,,"10.1504/IJCAT.2021.120459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123960919&doi=10.1504%2fIJCAT.2021.120459&partnerID=40&md5=fe2c9ffce55190fd1d44922ee222036b",Article,"Final","",Scopus,2-s2.0-85123960919
[No author name available],[No author id available],"2021 40th International Conference of the Chilean Computer Science Society, SCCC 2021",2021,"Proceedings - International Conference of the Chilean Computer Science Society, SCCC","2021-November",,,"","",328,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123954584&partnerID=40&md5=9a2f7800304570958b625fddc7e65e7f",Conference Review,"Final","",Scopus,2-s2.0-85123954584
"Umrani, N.R., Shilpashree, G.R., Audichya, S., Rai, A., Kodipalli, A., Joy Martis, R.","57423789700;57434762400;57423789800;57435177800;57203964287;26423182300;","COVID-19 Vaccination Prediction in India Using Deep Learning",2021,"IEEE Region 10 Humanitarian Technology Conference, R10-HTC","2021-September",,,"","",,,"10.1109/R10-HTC53172.2021.9641703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123873965&doi=10.1109%2fR10-HTC53172.2021.9641703&partnerID=40&md5=2beeee70d12cf7846618a12085e320c7",Conference Paper,"Final","",Scopus,2-s2.0-85123873965
[No author name available],[No author id available],"2021 International conference on Computing, Electronic and Electrical Engineering, ICE Cube 2021 - Proceedings",2021,"2021 International Conference on Computing, Electronic and Electrical Engineering, ICE Cube 2021 - Proceedings",,,,"","",239,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123794574&partnerID=40&md5=680a3577f93b3a52255d506b79c2c23a",Conference Review,"Final","",Scopus,2-s2.0-85123794574
"Murale, M., Devi, N., Gokul, A.R.G., Leela Rani, P., Navishvardanaa, S.","57433059800;57197652600;57433493600;57200842979;57433639400;","Forecasting the potential influence of Covid-19 using Data Science and Analytics",2021,"Proceedings of the 2021 IEEE International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems, ICSES 2021",,,,"","",,,"10.1109/ICSES52305.2021.9633787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123789744&doi=10.1109%2fICSES52305.2021.9633787&partnerID=40&md5=fa868f3713b435af2e70973a8e13f4a9",Conference Paper,"Final","",Scopus,2-s2.0-85123789744
"Arya, K., Vijaya Chandrakala, K.R.M.","57196671664;55253683400;","Machine Learning Based Prediction and Forecasting of Electricity Price during COVID-19",2021,"2021 IEEE International Power and Renewable Energy Conference, IPRECON 2021",,,,"","",,,"10.1109/IPRECON52453.2021.9640701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123784311&doi=10.1109%2fIPRECON52453.2021.9640701&partnerID=40&md5=253b0680db165496185fe263eeb18b8b",Conference Paper,"Final","",Scopus,2-s2.0-85123784311
"Farhan, M., Jabbar, S., Shahid, M.R.","56823258900;35179598300;57204390007;","Prediction and Analysis of Covid-19 Positive Cases Using Deep Learning Model",2021,"2021 International Conference on Computing, Electronic and Electrical Engineering, ICE Cube 2021 - Proceedings",,,,"","",,,"10.1109/ICECube53880.2021.9628335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123773725&doi=10.1109%2fICECube53880.2021.9628335&partnerID=40&md5=c2a3d6677a8c399480f74cb235fd15fc",Conference Paper,"Final","",Scopus,2-s2.0-85123773725
"Blagojevic, A., Sustersic, T., Filipovic, N.","57221644412;56497125500;35749660900;","Epidemiological forecasting of COVID-19 infection using deep learning approach",2021,"BIBE 2021 - 21st IEEE International Conference on BioInformatics and BioEngineering, Proceedings",,,,"","",,,"10.1109/BIBE52308.2021.9635289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123723413&doi=10.1109%2fBIBE52308.2021.9635289&partnerID=40&md5=4d040174c58368fcfb585f8af547de09",Conference Paper,"Final","",Scopus,2-s2.0-85123723413
"Naik, R., Singh, U.","57417842700;57418608000;","Secured 6-Digit OTP Generation using B-Exponential Chaotic Map",2021,"International Journal of Advanced Computer Science and Applications","12","12",,"786","794",,,"10.14569/IJACSA.2021.0121296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123700363&doi=10.14569%2fIJACSA.2021.0121296&partnerID=40&md5=30f585067b02493ab9142963e8ea642f",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85123700363
"Pratama, B.G., Yuliani, O.","57195617453;57288995100;","Monitoring and Controlling Thermal Comfort in Air Conditioner Using YoloV4 and Predicted Mean Vote",2021,"7th International Conference on Electrical, Electronics and Information Engineering: Technological Breakthrough for Greater New Life, ICEEIE 2021",,,,"","",,,"10.1109/ICEEIE52663.2021.9616849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123609838&doi=10.1109%2fICEEIE52663.2021.9616849&partnerID=40&md5=9113fdc1ea8020ea653499924976044b",Conference Paper,"Final","",Scopus,2-s2.0-85123609838
"Murugaiah, M., Ganesan, M.","57427786900;57428315300;","A Novel Frequency Based Feature Extraction Technique for Classification of Corona Virus Genome and Discovery of COVID-19 Repeat Pattern",2021,"Brazilian Archives of Biology and Technology","64",,"e21210075","","",,,"10.1590/1678-4324-2021210075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123536502&doi=10.1590%2f1678-4324-2021210075&partnerID=40&md5=3f66073a80d56aa78a4adbd0a772b1c2",Article,"Final","",Scopus,2-s2.0-85123536502
"Mahajan, A., Shetty, M.K., Girish, M.P., Gupta, M.D., Gupta, A.","57425464000;57220166774;6603960553;56971672000;53872683100;","Building an AI Model on ECG Data for Identifying Burnout/Stressed Healthcare Workers Involved in Covid-19 Management",2021,"2021 4th International Conference on Electrical, Computer and Communication Technologies, ICECCT 2021",,,,"","",,,"10.1109/ICECCT52121.2021.9616635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123421897&doi=10.1109%2fICECCT52121.2021.9616635&partnerID=40&md5=e5b8734968b75f623766fb30f6b837da",Conference Paper,"Final","",Scopus,2-s2.0-85123421897
"Timilehin, O., Van Zyl, T.L.","57271731800;26532116600;","Surrogate Parameters Optimization for Data and Model Fusion of COVID-19 Time-series Data",2021,"Proceedings of 2021 IEEE 24th International Conference on Information Fusion, FUSION 2021",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123419299&partnerID=40&md5=e4816b15af4ca99c3cf7d2f7f14aeca8",Conference Paper,"Final","",Scopus,2-s2.0-85123419299
"Sassi, M.S.H., Fourati, L.C.","57218580570;55819752700;","Deep Learning and Augmented Reality for IoT-based Air Quality Monitoring and Prediction System",2021,"2021 International Symposium on Networks, Computers and Communications, ISNCC 2021",,,,"","",,,"10.1109/ISNCC52172.2021.9615639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123417488&doi=10.1109%2fISNCC52172.2021.9615639&partnerID=40&md5=b976bb1c8070003eeb7bf00924f3d6e5",Conference Paper,"Final","",Scopus,2-s2.0-85123417488
"Chandra, S.K., Bhansali, A.","57206667741;35811841000;","CNN Based Architecture for Automatically Detecting People without Face Mask",2021,"2021 IEEE International Conference on Emerging Trends in Industry 4.0, ETI 4.0 2021",,,,"","",,,"10.1109/ETI4.051663.2021.9619257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123399488&doi=10.1109%2fETI4.051663.2021.9619257&partnerID=40&md5=2ba7d3257ec6b20f1b75976aa2ee7ce3",Conference Paper,"Final","",Scopus,2-s2.0-85123399488
"Raj, A., Umrani, N.R., G R, S., Audichya, S., Kodipalli, A., Martis, R.J.","57424087800;57423789700;57424241100;57423789800;57203964287;26423182300;","Forecast of Covid-19 Using Deep Learning",2021,"Proceedings of CONECCT 2021: 7th IEEE International Conference on Electronics, Computing and Communication Technologies",,,,"","",,,"10.1109/CONECCT52877.2021.9622721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123357691&doi=10.1109%2fCONECCT52877.2021.9622721&partnerID=40&md5=4baf7c2618dcda51dc13a30045be318e",Conference Paper,"Final","",Scopus,2-s2.0-85123357691
"Kumari, M.","57210432969;","An Overview on Deep Leaning Application in Coronavirus (COVID-19):Diagnosis, Prediction and Effects",2021,"Proceedings - 2nd International Conference on Smart Electronics and Communication, ICOSEC 2021",,,,"1507","1510",,,"10.1109/ICOSEC51865.2021.9591921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123194484&doi=10.1109%2fICOSEC51865.2021.9591921&partnerID=40&md5=cd8bdc88e5265e84def0471b7aa8a5fc",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85123194484
"Effati, M., Sun, Y.-C., Naguib, H.E., Nejat, G.","57224012156;57330561800;7003661143;12789569200;","Multimodal Detection of COVID-19 Symptoms using Deep Learning Probability-based Weighting of Modes",2021,"International Conference on Wireless and Mobile Computing, Networking and Communications","2021-October",,,"151","156",,,"10.1109/WiMob52687.2021.9606355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123013745&doi=10.1109%2fWiMob52687.2021.9606355&partnerID=40&md5=3dd46908e1c3b36b1f670501b3da155d",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85123013745
"Mas-Pujol, S., Salami, E., Pastor, E.","57411390600;22434252200;56209469100;","Predict ATFCM weather regulations using a time-distributed Recurrent Neural Network",2021,"AIAA/IEEE Digital Avionics Systems Conference - Proceedings","2021-October",,,"","",,,"10.1109/DASC52595.2021.9594303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122802343&doi=10.1109%2fDASC52595.2021.9594303&partnerID=40&md5=3783f2823784d5ce3bec98186d41d7e8",Conference Paper,"Final","",Scopus,2-s2.0-85122802343
"Vatanparvar, K., Nathan, V., Nemati, E., Rahman, M.M., McCaffrey, D., Kuang, J., Gao, J.A.","56464247900;56118806800;54891713400;57446310200;57220061040;57206523843;57207116045;","SpeechSpiro: Lung Function Assessment from Speech Pattern as an Alternative to Spirometry for Mobile Health Tracking",2021,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",,,,"7237","7243",,,"10.1109/EMBC46164.2021.9630077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122496286&doi=10.1109%2fEMBC46164.2021.9630077&partnerID=40&md5=bb79e1ce4803e19f0dc4c8902a3c74c4",Conference Paper,"Final","",Scopus,2-s2.0-85122496286
"Alkhammash, E.H., Algethami, H., Alshahrani, R.","56690321000;56902597700;56193502000;","Novel Prediction Model for COVID-19 in Saudi Arabia Based on an LSTM Algorithm",2021,"Computational Intelligence and Neuroscience","2021",,"6089677","","",,,"10.1155/2021/6089677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122340723&doi=10.1155%2f2021%2f6089677&partnerID=40&md5=905972f817871f2686a7ace15f0bf571",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122340723
"Chornous, G., Nikolskyi, I., Wyszyński, M., Kharlamova, G., Stolarczyk, P.","57194528334;57204562535;57397489200;36069484800;57398048400;","A hybrid user-item-based collaborative filtering model for e-commerce recommendations",2021,"Journal of International Studies","14","4",,"157","173",,,"10.14254/2071-8330.2021/14-4/11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122329185&doi=10.14254%2f2071-8330.2021%2f14-4%2f11&partnerID=40&md5=09e01a2626a9360c08bd7ec1f71404d2",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85122329185
"Gupta, Y., Raghuwanshi, G., Ahmadini, A.A.H., Sharma, U., Mishra, A.K., Mashwani, W.K., Goktas, P., Alshqaq, S.S., Balogun, O.S.","56040653600;56964433300;57203280600;57225664504;57325871800;48161356600;56708612800;57220744934;57212460935;","Impact of Weather Predictions on COVID-19 Infection Rate by Using Deep Learning Models",2021,"Complexity","2021",,"5520663","","",,,"10.1155/2021/5520663","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122082789&doi=10.1155%2f2021%2f5520663&partnerID=40&md5=4ecf5726aa5c82dd713b998760089d5e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85122082789
"Hong, Z., Fan, Z., Tong, X., Zhou, R., Pan, H., Zhang, Y., Han, Y., Wang, J., Yang, S., Wu, H., Li, J.","57392159700;57392159800;55500134600;57226375365;57363040300;57225165628;57363334000;57218486996;57362750600;57226476845;57391899000;","Prediction Of Covid-19 Epidemic Situation Via Fine-Tuned Indrnn",2021,"PeerJ Computer Science","7",,,"1","30",,,"10.7717/peerj-cs.770","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122036145&doi=10.7717%2fpeerj-cs.770&partnerID=40&md5=b87c4ec44233a5d601c774d24b1516b5",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122036145
"An, S., Chen, S., Yuan, X., Yuwen, L., Mei, S.","57221834786;44360986200;57221835409;57208025377;57221833480;","A SSA-Based Attention-BiLSTM Model for COVID-19 Prediction",2021,"Communications in Computer and Information Science","1517 CCIS",,,"119","126",,,"10.1007/978-3-030-92310-5_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121918120&doi=10.1007%2f978-3-030-92310-5_14&partnerID=40&md5=9835f28bf099fb504f2b52e7b6a2b189",Conference Paper,"Final","",Scopus,2-s2.0-85121918120
"Hackenberg, M., Grodd, M., Kreutz, C., Fischer, M., Esins, J., Grabenhenrich, L., Karagiannidis, C., Binder, H.","57219735043;57218507034;10046479500;56149181300;56247448900;25227608500;56526795200;57202736730;","Using Differentiable Programming for Flexible Statistical Modeling",2021,"American Statistician",,,,"","",,,"10.1080/00031305.2021.2002189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121716178&doi=10.1080%2f00031305.2021.2002189&partnerID=40&md5=ecd38df3b1cad2510e2cb997006aa17c",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85121716178
"Zaidi, S.M.A., Chandola, V., Yoo, E.-H.","57205581367;18435840500;57312760700;","DST-Predict: Predicting Individual Mobility Patterns from Mobile Phone GPS Data",2021,"IEEE Access","9",,,"167592","167604",,,"10.1109/ACCESS.2021.3134586","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121391971&doi=10.1109%2fACCESS.2021.3134586&partnerID=40&md5=5eee8fa8ce0ff03f5a1a6efc906e8b7f",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85121391971
"Heddy, B.C., Lombardi, D., Danielson, R.W.","55757828500;36468738900;56122525300;","The moral side of the climate crisis: the effect of moral conviction on learning about climate change",2021,"Educational and Developmental Psychologist",,,,"","",,,"10.1080/20590776.2021.2011203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121354979&doi=10.1080%2f20590776.2021.2011203&partnerID=40&md5=47fab9f01b953440d2b87e5eaeabb053",Article,"Article in Press","",Scopus,2-s2.0-85121354979
"Long, Z., McCreadie, R.","57374163400;35230090100;","Automated crisis content categorization for COVID-19 tweet streams",2021,"Proceedings of the International ISCRAM Conference","2021-May",,,"667","678",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121269222&partnerID=40&md5=4705b1c2b74e22eb0cbd683a3506c899",Conference Paper,"Final","",Scopus,2-s2.0-85121269222
"Harbola, S., Jain, P., Gupta, D.","57364918300;57364918400;56985108600;","Analysis, visualization and forecasting of COVID-19 outbreak using LSTM model",2021,"Lecture Notes on Data Engineering and Communications Technologies","54",,,"151","164",,1,"10.1007/978-981-15-8335-3_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120720843&doi=10.1007%2f978-981-15-8335-3_14&partnerID=40&md5=aec800bcc440e1a90f95e4ba777b834d",Book Chapter,"Final","",Scopus,2-s2.0-85120720843
"Dong, L.D., Nguyen, V.T., Le, D.T., Tiep, M.V., Hien, V.T., Huy, P.P., Hieu, P.T.","57361435000;57198355917;57361629300;57220585480;35191808300;57361458000;57361372700;","Modeling Transmission Rate of COVID-19 in Regional Countries to Forecast Newly Infected Cases in a Nation by the Deep Learning Method",2021,"Communications in Computer and Information Science","1500 CCIS",,,"411","423",,,"10.1007/978-981-16-8062-5_28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120532403&doi=10.1007%2f978-981-16-8062-5_28&partnerID=40&md5=66bfd70a440683d05608c990bdd564c8",Conference Paper,"Final","",Scopus,2-s2.0-85120532403
"Karmakar, S., Gautam, D., Karmakar, P.","57355409300;57355409400;57188652525;","Modeling and Predictions of COVID-19 Spread in India",2021,"Lecture Notes in Electrical Engineering","796",,,"195","208",,,"10.1007/978-981-16-5078-9_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120041494&doi=10.1007%2f978-981-16-5078-9_17&partnerID=40&md5=e6918d8606832e3d809ba6db2ff5b033",Conference Paper,"Final","",Scopus,2-s2.0-85120041494
"Abedin, M.Z., Moon, M.H., Hassan, M.K., Hajek, P.","57225939676;57216272574;57203737478;56894360000;","Deep learning-based exchange rate prediction during the COVID-19 pandemic",2021,"Annals of Operations Research",,,,"","",,1,"10.1007/s10479-021-04420-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119976997&doi=10.1007%2fs10479-021-04420-6&partnerID=40&md5=1be7a3767ecd8652cfd1cc28e1c7f3d1",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85119976997
[No author name available],[No author id available],"11th EAI International Conference on Research in Computer science and its Applications, CNRIA 2021",2021,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","400 LNICST",,,"","",130,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119873875&partnerID=40&md5=45f16e92db7a932bd0b0dddc794f594d",Conference Review,"Final","",Scopus,2-s2.0-85119873875
"Wang, Y., Zeng, D.D., Zhang, Q., Zhao, P., Wang, X., Wang, Q., Luo, Y., Cao, Z.","57211210181;57349273900;36448087800;57349417800;57349417900;57254859200;57348994600;7402432208;","Adaptively temporal graph convolution model for epidemic prediction of multiple age groups",2021,"Fundamental Research",,,,"","",,,"10.1016/j.fmre.2021.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119596043&doi=10.1016%2fj.fmre.2021.07.007&partnerID=40&md5=bb3001720aa3aa24497e5f67358fc766",Article,"Article in Press","All Open Access, Gold",Scopus,2-s2.0-85119596043
"Xia, T., Han, J., Qendro, L., Dang, T., Mascolo, C.","57218845878;57189595463;57170637200;57223798223;6701533742;","Uncertainty-aware covid-19 detection from imbalanced sound data",2021,"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH","1",,,"216","220",,2,"10.21437/Interspeech.2021-1320","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119510307&doi=10.21437%2fInterspeech.2021-1320&partnerID=40&md5=7881f5d7f06420a953f91e7d52b5937f",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85119510307
"Nigam, A., Jaiswal, P., Sundar, S., Poddar, M., Kumar, N., Dernoncourt, F., Celi, L.A.","57208214144;57219624319;57224615538;57345671900;57344904000;55827671700;16033282700;","NLP and Deep Learning Methods for Curbing the Spread of Misinformation in India",2021,"International Journal of Intelligence, Security, and Public Affairs",,,,"","",,,"10.1080/23800992.2021.1975429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119326112&doi=10.1080%2f23800992.2021.1975429&partnerID=40&md5=aa2f897904b5e8184bece53b9f2587df",Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85119326112
"Abdullah, M., Al-Ayyoub, M., AlRawashdeh, S., Shatnawi, F.","57195070188;25926888700;57344090900;57214778444;","E-learningDJUST: E-learning dataset from Jordan university of science and technology toward investigating the impact of COVID-19 pandemic on education",2021,"Neural Computing and Applications",,,,"","",,,"10.1007/s00521-021-06712-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119295341&doi=10.1007%2fs00521-021-06712-1&partnerID=40&md5=aab1eb721f02acb024602cb5919a9617",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85119295341
"Fakhry, A., Jiang, X., Xiao, J., Chaudhari, G., Han, A.","57221323983;57216736778;57221319246;57221324081;57221317779;","A multi-branch deep learning network for automated detection of COVID-19",2021,"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH","5",,,"3641","3645",,,"10.21437/Interspeech.2021-378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119186007&doi=10.21437%2fInterspeech.2021-378&partnerID=40&md5=9ebe6d9b025a558729f57b18c904c29d",Conference Paper,"Final","",Scopus,2-s2.0-85119186007
"Liu, T., Bai, Y., Du, M., Gao, Y., Liu, Y.","57336617800;57205264127;34771237700;57336760000;27170427000;","Susceptible-Infected-Removed Mathematical Model under Deep Learning in Hospital Infection Control of Novel Coronavirus Pneumonia",2021,"Journal of Healthcare Engineering","2021",,"1535046","","",,,"10.1155/2021/1535046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118999744&doi=10.1155%2f2021%2f1535046&partnerID=40&md5=27d1bb77a84c56c14f8b94e56d3eef03",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118999744
"Durai, C.A.D., Begum, A., Jebaseeli, J., Sabahath, A.","36987863000;57205741720;57218491564;57192545941;","COVID-19 pandemic, predictions and control in Saudi Arabia using SIR-F and age-structured SEIR model",2021,"Journal of Supercomputing",,,,"","",,,"10.1007/s11227-021-04149-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118871915&doi=10.1007%2fs11227-021-04149-w&partnerID=40&md5=52fcce8b654d93fbfc7001b44fe69a6d",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85118871915
"Lv, Z., Chen, D., Feng, H., Zhu, H., Lv, H.","55925162500;57218828066;23392323100;57326426300;57226278651;","Digital Twins in Unmanned Aerial Vehicles for Rapid Medical Resource Delivery in Epidemics",2021,"IEEE Transactions on Intelligent Transportation Systems",,,,"","",,6,"10.1109/TITS.2021.3113787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118620843&doi=10.1109%2fTITS.2021.3113787&partnerID=40&md5=3ef828acf5a84035a250c7e1c9e7d43c",Article,"Article in Press","",Scopus,2-s2.0-85118620843
"Huang, Z., Wang, D., Yin, Y., Li, X.","57292155300;57326682700;57271952300;57200966968;","A Spatiotemporal Bidirectional Attention-Based Ride-Hailing Demand Prediction Model: A Case Study in Beijing During COVID-19",2021,"IEEE Transactions on Intelligent Transportation Systems",,,,"","",,,"10.1109/TITS.2021.3122541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118598894&doi=10.1109%2fTITS.2021.3122541&partnerID=40&md5=7ea43138faa430148d3e2f85a63971b6",Article,"Article in Press","",Scopus,2-s2.0-85118598894
"Khedhiri, S.","54885877400;","Forecasting COVID-19 infections in the Arabian Gulf region",2021,"Modeling Earth Systems and Environment",,,,"","",,,"10.1007/s40808-021-01332-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118548680&doi=10.1007%2fs40808-021-01332-z&partnerID=40&md5=cb79a0c36b4792a96511f5d7b5a9285b",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85118548680
"Chaudhary, A., Mishra, R., Gupta, H.P., Shukla, K.K.","57219948578;57222116400;55083157000;7101987416;","Jointly Prediction of Activities, Locations, and Starting Times for Isolated Elderly People",2021,"IEEE Journal of Biomedical and Health Informatics",,,,"","",,,"10.1109/JBHI.2021.3121296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118264084&doi=10.1109%2fJBHI.2021.3121296&partnerID=40&md5=81e735892125a95a465fdfaae293e97e",Article,"Article in Press","",Scopus,2-s2.0-85118264084
"Moroney, C., Crothers, E., Mittal, S., Joshi, A., Adalı, T., Mallinson, C., Japkowicz, N., Boukouvalas, Z.","57315126100;57203274213;57188835015;7402452908;7005952651;7003499789;6602090286;56641601400;","The Case for Latent Variable Vs Deep Learning Methods in Misinformation Detection: An Application to COVID-19",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12986 LNAI",,,"422","432",,,"10.1007/978-3-030-88942-5_33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118194472&doi=10.1007%2f978-3-030-88942-5_33&partnerID=40&md5=7738e039593583fba7388639b75c5049",Conference Paper,"Final","",Scopus,2-s2.0-85118194472
"Wani, M.A., Farooq, J., Wani, D.M.","57201135789;57218292290;57310956900;","Risk assessment of COVID-19 pandemic using deep learning model for J&amp;K in India: a district level analysis",2021,"Environmental Science and Pollution Research",,,,"","",,,"10.1007/s11356-021-17046-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117781850&doi=10.1007%2fs11356-021-17046-9&partnerID=40&md5=6ca6914de54324b302d08605cbfe0bfc",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85117781850
"Zhou, R., Tai, Y., Yu, H., Wang, X., Zhang, L.","57222999443;36984437500;57216628934;57292286100;57220765590;","A Clinical Decision-Making System for COVID-19",2021,"Smart Innovation, Systems and Technologies","234",,,"245","249",,,"10.1007/978-981-16-3391-1_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116925905&doi=10.1007%2f978-981-16-3391-1_27&partnerID=40&md5=8f5d8b39e6d02ed8c0bbc7326745d102",Conference Paper,"Final","",Scopus,2-s2.0-85116925905
"Zhong, Q., Li, Z., Wang, W., Zhang, L., He, K.","57214077038;57221461997;57221472412;57289860600;7202010630;","Integrated medical resource consumption stratification in hospitalized patients: an Auto Triage Management model based on accurate risk, cost and length of stay prediction",2021,"Science China Life Sciences",,,,"","",,,"10.1007/s11427-021-1987-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116837476&doi=10.1007%2fs11427-021-1987-5&partnerID=40&md5=a7aefafcab962540970d68ad5245bc8a",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85116837476
