Reference Type;Reference Id;Authors, Primary;Title Primary;Periodical Full;Periodical Abbrev;Pub Year;Pub Month & Day;Pub Date Free From;Volume;Issue;Start Page;Other Pages;Keywords;Abstract;Notes;Personal Notes;Authors, Secondary;Title Secondary;Edition;Publisher;Place Of Publication;Authors, Tertiary;Authors, Quaternary;Authors, Quinary;Title, Tertiary;ISSN/ISBN;Availability;Author/Address;Accession Number;Output Language;Language;Classification;Sub file/Database;Original Foreign Title;Links;URL;DOI;PMID;PMCID;Call Number;Database;Data Source;Identifying Phrase;Retrieved Date;Shortened Title;User 1;User 2;User 3;User 4;User 5;User 6;User 7;User 8;User 9;User 10;User 11;User 12;User 13;User 14;User 15
Journal Article;RefID:896-wu2021economic;"Wu,Wanshan;Tiwari,Aviral Kumar;Gozgor,Giray;Leping,Huang";Does economic policy uncertainty affect cryptocurrency markets? Evidence from Twitter-based uncertainty measures;Research in International Business and Finance;;2021;;dec-21;58;;101478;;;Using daily data from August 9, 2015, to July 7, 2020, this study examines the effects of economic policy uncertainty (EPU) on the returns of four cryptocurrencies: Bitcoin, Ethereum, Litecoin, and Ripple. To this end, two new measures of EPU (Twitter-based economic uncertainty and Twitter-based market uncertainty) are considered. A Granger causality test using the recursive evolving window approach shows a significant causality between the Twitter-based EPU measures and the BTC/USD exchange rate from October 2016 to July 2017. Moreover, a significant causality was noted from the EPU measures to the ETH/USD exchange rate from June 2019 to February 2020 and from the EPU measures to the XRP/USD exchange rate from January 2020 to February 2020. The Twitter-based EPU measures primarily positively affect the returns of the related cryptocurrencies during these periods. These results are robust to different measures of Twitter-based EPU and different econometric techniques. Potential implications, including the COVID-19 era, are also discussed.;ID: 273213;;;;;;;;;;;0275-5319;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0275531921000994;https://www.sciencedirect.com/science/article/pii/S0275531921000994;https://doi.org/10.1016/j.ribaf.2021.101478;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:895-oliva-teles2022environmental;"Oliva-Teles,Luís;Pinto,Raquel;Vilarinho,Rui;Carvalho,António Paulo;Moreira,J. Agostinho;Guimarães,Laura";Environmental diagnosis with Raman Spectroscopy applied to diatoms;Biosensors and Bioelectronics;;2022;;15 February 2022;198;;113800;;;Freshwater quality has been changing due to the ever greater use of water resources and the contamination load resulting from human activities. Management of these systems, thus, requires constant diagnose of water quality with fast and efficient methodologies. The conventional methods adopted are, however, time-consuming, often very expensive, and require specialised expertise. Raman spectroscopy (RS) is a simple, fast and label-free technique that can be applied to environmental diagnosis using diatoms. Here, we developed a diagnostic method based on Raman spectroscopy applied to freshwater diatoms. For this, Raman spectra were recorded from diatoms of three lakes of a natural city park. The data acquired was analysed by chemometrics methods to describe the data (Partial Least Squares Regression), infer relationships in the dataset (Cluster Analysis) and produce classification models (Artificial Neural Network). The classification models developed diagnosed the lakes with excellent accuracy (89%) without requiring taxonomic information about the diatom species recorded. This study provides a proof-of-concept for the application of diatom Raman spectroscopy to diagnosing water quality, laying an important foundation for future environmental studies aiming at assessing freshwater systems, to be replicated at larger scales and to varied geographic settings.;ID: 271399;;;;;;;;;;;0956-5663;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S095656632100837X;https://www.sciencedirect.com/science/article/pii/S095656632100837X;https://doi.org/10.1016/j.bios.2021.113800;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:894-li2021grey;"Li,Shaohong;Wu,Na";A new grey prediction model and its application in landslide displacement prediction;Chaos, Solitons & Fractals;;2021;;June 2021;147;;110969;;;Developing a grey prediction model with high nonlinear prediction accuracy is an important issue in grey system theory. A new grey prediction model was developed that was the first to combine the idea of twin support vector regression with Hausdorff derivative operator. The new model is a non-linear data-driven model. An improved salp swarm algorithm is used to determine parameters of the model. Two numerical examples show that the error of the new model is smaller than the existing grey prediction models and least square support vector machine model. Moreover, with the displacement, precipitation, reservoir level elevation, variation velocity of reservoir level elevation, and displacement velocity of the previous month as the input variables, the new model was successfully used to predict the displacement of a landslide in the real-world. The new model is a powerful tool for solving nonlinear prediction problems.;ID: 271591;;;;;;;;;;;0960-0779;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0960077921003234;https://www.sciencedirect.com/science/article/pii/S0960077921003234;https://doi.org/10.1016/j.chaos.2021.110969;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:893-peredo-lovillo2022conventional;"Peredo-Lovillo,Audry;Hernández-Mendoza,Adrián;Vallejo-Cordoba,Belinda;Romero-Luna,Haydee Eliza";Conventional and in silico approaches to select promising food-derived bioactive peptides: A review;Food Chemistry: X;;2022;;30 March 2022;13;;100183;;;The interest for food-derived bioactive peptides, either from common or unconventional sources, has increased due to their potential therapeutic effect against a wide range of diseases. The study of such bioactive peptides using conventional methods is a long journey, expensive and time-consuming. Hence, bioinformatic approaches, which can not only help to predict the formation of bioactive peptides from any known protein source, but also to analyze the protein structure/function relationship, have gained a new meaning in this scientific field. Therefore, this review aims to provides an overview of conventional characterization methods and the most recent advances in the field of in silico approaches for predicting and screening promising food-derived bioactive peptides.;ID: 320466;;;;;;;;;;;2590-1575;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2590157521000717;https://www.sciencedirect.com/science/article/pii/S2590157521000717;https://doi.org/10.1016/j.fochx.2021.100183;;;;;;;;;;;;;;;;;;;;;;;
Book, Section;RefID:892-zhang2021chapter;"Zhang,Yang;Li,Jigeng;Hong,Mengna;Man,Yi";Chapter 5 - Intelligent approaches to forecast the chemical property: Case study in papermaking process;;;2021;;2021;;;93;118;;"Real-time and accurate monitoring of key physical and chemical parameters in industrial production processes is a basic work to improve product quality and reduce energy consumption. Affected by the high integration of production equipment and the working environment, sensors used to monitor key physical and chemical parameters often have problems that cannot be installed or have low measurement accuracy. As a result, the production process is not transparent enough, and the process optimization lacks data support. Establishing the prediction model of the key physical and chemical parameters can play the function of replacing hardware with software, which is not only economical and reliable, but also has a rapid dynamic response. The traditional mechanism modeling method requires an accurate theoretical foundation and is only suitable for simple process objects. For complex process objects, the model accuracy cannot meet the requirements of the production process. The data-driven modeling method based on historical data and intelligent algorithms has simple process, strong model versatility, and high precision, and is more suitable for modeling complex industrial production processes. This work takes the prediction of the beating degree of tissue paper as an example. First, the historical data of the refining process and pulp fiber parameters are collected and preprocessed. Then, based on the GBDT algorithm, a prediction model of the beating degree is established, and the k-fold cross check method is used to verify the accuracy of the model. The verification results show that the MSE of the GBDT model is 0.9637 SR° and the MAE is 0.7627 SR°, which meets the actual production requirements for the accuracy. With the same precision, compared with the SVM algorithm, the GBDT operation time is only one fiftieth of the SVM, indicating that the GBDT model has a faster operation speed. By analyzing the GBDT model, it is found that specific energy consumption and pulp flow are the variables that have higher influence on the beating degree; the twisted fiber content, fine fiber content, and brooming rate have medium influence, and the remaining variables matter less.";ID: 780372;;"Ren,Jingzheng;Shen,Weifeng;Man,Yi;Dong,Lichun";Applications of Artificial Intelligence in Process Systems Engineering;;Elsevier;;;;;;9,78013E+12;;;;;;;;;https://www.sciencedirect.com/science/article/pii/B9780128210925000012;https://www.sciencedirect.com/science/article/pii/B9780128210925000012;https://doi.org/10.1016/B978-0-12-821092-5.00001-2;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:891-corona2022electricity;"Corona,Luis;Mochon,Asuncion;Saez,Yago";Electricity market integration and impact of renewable energy sources in the Central Western Europe region: Evolution since the implementation of the Flow-Based Market Coupling mechanism;Energy Reports;;2022;;nov-22;8;;1768;1788;;The wholesale electricity markets in Europe are undergoing major changes. The pursuit of a major integration for the development of the Internal Energy market is the main driver of this transformation. In this context, the Central Western Europe region implemented for the first time in May 2015 a new and complex mechanism to manage cross-border capacity allocation in the frame of the day-ahead market: the Flow-Based Market Coupling. This paper is the first to consider recent data of the electricity market to develop a predictive model for identifying convergence and congestion situations in the Central Western Europe region. The occurrence of convergence or not is considered as a binary outcome to build a probit model. This model combines meaningful information about the electricity market features of the interconnected countries between 2016 and 2018, including for the first time data on renewable energy sources forecasts for this type of studies. The results of this study identify the major role that Germany and France play in the integration process. The estimated coefficients of the model show that the strong development of solar and wind power in Germany appears as an important driver of congestion in the Central Western Europe. In order to improve the benefits of market integration and the further development of the Internal Energy market, the results of this study encourage policy-makers to promote cooperation and coordination among all the actors involved in the electricity market and to pursue the expansion of the power grid to minimize the occurrence of congestion situations.;ID: 311225;;;;;;;;;;;2352-4847;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S235248472101516X;https://www.sciencedirect.com/science/article/pii/S235248472101516X;https://doi.org/10.1016/j.egyr.2021.12.077;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:890-li2020hierarchical;"Li,Fa;Gui,Zhipeng;Zhang,Zhaoyu;Peng,Dehua;Tian,Siyu;Yuan,Kunxiaojia;Sun,Yunzeng;Wu,Huayi;Gong,Jianya;Lei,Yichen";A hierarchical temporal attention-based LSTM encoder-decoder model for individual mobility prediction;Neurocomputing;;2020;;25-aug-20;403;;153;166;;Prediction of individual mobility is crucial in human mobility related applications. Whereas, existing research on individual mobility prediction mainly focuses on next location prediction and short-term dependencies between traveling locations. Long-term location sequence prediction is of great importance for long-time traffic planning and location advertising, and long-term dependencies exist as individual mobility regularity typically occurs daily and weekly. This paper proposes a novel hierarchical temporal attention-based LSTM encoder-decoder model for individual location sequence prediction. The proposed hierarchical attention mechanism captures both long-term and short-term dependencies underlying in individual longitudinal trajectories, and uncovers frequential and periodical mobility patterns in an interpretable manner by incorporating the calendar cycle of individual travel regularities into location prediction. More specifically, the hierarchical attention consists of local temporal attention to identify highly related locations in each day, and global temporal attention to discern important travel regularities over a week. Experiments on individual trajectory datasets with varying degree of traveling uncertainty demonstrate that our method outperforms four baseline methods on three evaluation metrics. In addition, we explore the interpretability of the proposed model in understanding individual daily, and weekly mobility patterns by visualizing the temporal attention weights and frequent traveling patterns associated with locations.;ID: 271597;;;;;;;;;;;0925-2312;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0925231220304677;https://www.sciencedirect.com/science/article/pii/S0925231220304677;https://doi.org/10.1016/j.neucom.2020.03.080;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:889-alam2022pedestrian;"Alam,MD Jahedul;Habib,Muhammad Ahsanul;Holmes,Devin";Pedestrian movement simulation for an airport considering social distancing strategy;Transportation Research Interdisciplinary Perspectives;;2022;;March 2022;13;;100527;;;This study develops a pedestrian microsimulation model for an international airport that implements a social force model to simulate business-as-usual as well as pandemic pedestrian movement scenarios. The study follows an extensive calibration procedure to formulate pedestrian behavior within the microsimulation environment to reflect COVID-19 restrictions. The calibration process includes three components, which are visual observations, sensitivity analysis, and parameter combinations. The calibration process identifies the combination of the parameters that yields a pedestrian behavior for maximizing the distances among pedestrians in the airport. The study tests three scenarios: (1) a base case scenario with no social distancing parameters in effect, (2) a social distancing scenario that implements calibrated social force model parameters, and (3) a social distancing scenario through a combined implementation of the calibrated parameters and an operational improvement strategy. The simulation results for calibration reveal that the identified combination of the parameters yields 3.8% of instances of pedestrian movements that demonstrate a proximity of less than 2 m between pedestrians. The social distancing scenario demonstrates a significant reduction of such instances by 93–94% in comparison to a scenario with no social distancing strategy implemented. Moreover, the results show that social distancing is likely to increase pedestrian’s activity and queue time in the airport. According to the simulation results, it appears that the airport authorities may require queue management processes, infrastructure development, and additional resource deployment to alleviate the negative impacts of social distancing policies on pedestrian movements and operations within the airport.;ID: 320511;;;;;;;;;;;2590-1982;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2590198221002323;https://www.sciencedirect.com/science/article/pii/S2590198221002323;https://doi.org/10.1016/j.trip.2021.100527;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:888-owusu2022gas;"Owusu Junior,Peterson;Tiwari,Aviral Kumar;Tweneboah,George;Asafo-Adjei,Emmanuel";GAS and GARCH based value-at-risk modeling of precious metals;Resources Policy;Resour.Policy;2022;;March 2022;75;;102456;;;We employ 38 VaR model specifications (32 GARCH and - 6 GAS), assuming Gaussian and non-Gaussian distributional innovations. Using the elicitability property of VaR, we further use the Model Confidence Set (MCS) technique, which creates superior set models (SSMs) and ranks them based predictive ability of the VaR forecasts. We employ 4580 daily log-returns of Gold, Palladium, Platinum, and Silver, which span January 01, 2000, to April 04, 2018, which covers turbulent (Eurozone and Global Financial crises periods) and tranquil (post-Global Financial crisis period) market conditions. We find that, for both 1% and 5% VaR forecasts, Platinum exhibits a higher level of heterogeneity among models in contrast with Silver, Gold, and Palladium. Hence, Platinum has the smallest number of models in the SSM. Empirically, the homogeneity in the SSM is suggestive of well-diversified portfolios for the respective metals. Except for a few models, both DQ and CC tests support adequate forecast abilities of the respective 1% and 5% VaR models. This suggests the strength of the MCS procedure to select superior set models as compared to the initial set of 38 models. Our study is important for internal risk modelling, regulatory oversight and may bolster confidence in global investors concerning investments in precious metals.;ID: 271807;;;;;;;;;;;0301-4207;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0301420721004645;https://www.sciencedirect.com/science/article/pii/S0301420721004645;https://doi.org/10.1016/j.resourpol.2021.102456;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:887-charpignon2021model;"Charpignon,Marie-Laure;Celi,Leo Anthony;Samuel,Mathew Cherian";Who does the model learn from?;The Lancet Digital Health;;2021;;May 2021;3;5;e275;e276;;;ID: 320453;;;;;;;;;;;2589-7500;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2589750021000571;https://www.sciencedirect.com/science/article/pii/S2589750021000571;https://doi.org/10.1016/S2589-7500(21)00057-1;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:886-lucas2021predicting;"Lucas,Vera;Andrade,António R.";Predicting hourly origin–destination demand in bike sharing systems using hurdle models: Lisbon case study;Case Studies on Transport Policy;;2021;;dec-21;9;4;1836;1848;;Bike Sharing Systems (BSS) have gained popularity all over the world. BSS success requires efficient location of stations and the rebalancing of the network, both of which depend on predicted demand and flows between stations. Therefore, predicting BSS demand is essential to optimize logistic operations, as well as network reliability and availability. The present work develops statistical models to predict the hourly origin–destination demand in the Lisbon BSS network. Models predict the number of trips that will occur between an origin station and a destination station (OD pair) at a certain hour, as well as the duration of such trips. This study also examines the effect of several explaining variables, including the weather, intermodality effects, effects of station location close to different types of points of interest and the time/hour effect. These effects were all tested using different statistical models, including the Generalized Linear Models (GLM) and zero-augmented ones: the hurdle model and the zero-inflated model. The hurdle model showed the best fit to the data and several explaining variables exhibited statistical significant effects. A discussion on the potential logistic and policy impacts of such findings is also provided, so that BSS network design and operations can incorporate them within the urban mobility system policy.;ID: 286278;;;;;;;;;;;2213-624X;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2213624X21001656;https://www.sciencedirect.com/science/article/pii/S2213624X21001656;https://doi.org/10.1016/j.cstp.2021.10.003;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:885-noursalehi2021predictive;"Noursalehi,Peyman;Koutsopoulos,Haris N.;Zhao,Jinhua";Predictive decision support platform and its application in crowding prediction and passenger information generation;Transportation Research Part C: Emerging Technologies;;2021;;aug-21;129;;103139;;;Demand for public transport has witnessed a steady growth over the last decade in many densely populated cities around the world. However, capacity has not always matched this increased demand. As such, passengers experience long waiting times and are denied boarding during the peak hours. Crowded platforms and the subsequent customer dissatisfaction and safety issues have become a serious concern. The COVID-19 pandemic has dramatically reduced passengers’ willingness to board crowded trains, causing a surge in demand for real-time crowding information. In this paper, we propose a real-time predictive decision support platform which addresses both, operations control and customer information needs. The system provides crowding predictions on trains and platforms, communicates this information to passengers, and takes into account their response to it. It is demonstrated through a case study that providing predictive information to passengers can potentially reduce denied boarding and lead to better utilization of train capacity.;ID: 271729;;;;;;;;;;;0968-090X;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0968090X21001571;https://www.sciencedirect.com/science/article/pii/S0968090X21001571;https://doi.org/10.1016/j.trc.2021.103139;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:884-tsai2022editorial;"Tsai,Sang-Bing;Wu,Tao;Wu,Chia-Huei;Yue,Xiaohang";Editorial for the special issue on “Transforming public health through artificial intelligence, machine learning and internet of things”;Socio-economic planning sciences;Socioecon.Plann.Sci.;2022;;Available online 15 February 2022;;;101267;;;;ID: 271736;;;;;;;;;;;0038-0121;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0038012122000453;https://www.sciencedirect.com/science/article/pii/S0038012122000453;https://doi.org/10.1016/j.seps.2022.101267;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:883-2021contents;Contents;;Process Safety and Environmental Protection;Process Saf.Environ.Prot.;2021;;nov-21;155;;i;iii;;;ID: 276831;;;;;;;;;;;0957-5820;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0957582021005395;https://www.sciencedirect.com/science/article/pii/S0957582021005395;https://doi.org/10.1016/S0957-5820(21)00539-5;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:882-yang2022postcom2dr:;"Yang,Yanjie;Wang,Yuhang;Wang,Li;Meng,Jie";PostCom2DR: Utilizing information from post and comments to detect rumors;Expert Systems with Applications;Expert Syst.Appl.;2022;;1 March 2022;189;;116071;;;The development of social media has caused a boom in information sharing, but it also provides an ideal platform for publishing and spreading rumors. On social media platforms, there are a lot of comments, which contain the user’s most direct views and reactions to the post. They can be utilized as clues to detect rumors. Recently, some methods are proposed to detect rumors through post and comments which usually focus on content information. However, except for this, other information such as reply structure, mutual selection information between post and comments, topic drift within comments also can help detect rumors. In this paper, we propose a novel model, PostCom2DR, for rumor detection. In PostCom2DR, a reply graph between post and comments is first created. Then a bilevel GCN and self-attention mechanism are built to learn the representation of comments. Secondly, a post-comment co-attention mechanism is introduced to selectively fuse information, and this helps the model focus on more relevant information. Through the above modules, we can get the global representation of post and comments. In addition, a 1D CNN is built to capture the local topic drift on time series inside the comments. Finally, we concatenate the global representation and local representation for rumor detection. Extensive experiments conducted on Chinese and English datasets show that PostCom2DR significantly outperforms other state-of-the-art models on both rumor detection and early detection.;ID: 271506;;;;;;;;;;;0957-4174;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S095741742101410X;https://www.sciencedirect.com/science/article/pii/S095741742101410X;https://doi.org/10.1016/j.eswa.2021.116071;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:881-kang2020predictive;"Kang,Youjeong;Hurdle,John";Predictive Model for Risk of 30-Day Rehospitalization Using a Natural Language Processing/Machine Learning Approach Among Medicare Patients with Heart Failure;Journal of cardiac failure;J.Card.Fail.;2020;;October 2020;26;10, Supplement;;S5;;Introduction Nearly 80% of all patients with heart failure (HF) are older adults (≥65 years of age). Prior studies have built predictive models that relied on structured data from electronic health records (EHRs) to predict the risk of 30-day rehospitalization for patients with HF. Structured data mostly included simple vocabularies such as age, and ethnicity. Rarely do prior studies include clinical narrative data in a free-text format (i.e., unstructured data). No previous study has focused on using clinical narrative notes specifically for Medicare patients with HF in the acute-care setting. Aim To identify clinical notes for building a predictive model for risk of 30-day rehospitalization among Medicate patients with HF. Methods This study first used free-text discharge summary notes and nursing care plans collected from June 1, 2015 to December 31, 2019, for a randomly selected 500 Medicare patients with HF. Natural Language Processing (NLP): we iterated over standard text pre-processing steps, exploring the impact of n-gram length, term document-frequency, word stemming, and the added value of parts-of-speech. We chose two models: 1) the classification model called Bag-of Words (BOW), where each document is represented by a vector based on the pre-processed text, and 2) Document Embedding, where document terms are mapped to a dimension-reducing layer (length equals 300). The latter runs exceptionally fast (on the order of tens-of-seconds for 2,000 documents). Machine Learning (ML): the output of the NLP BOW and Document Embedding models were fed to six different conventional machine learning systems (logistic regression, support vector machine, random forest, k-nearest neighbor clustering, a three-layer neural network, and Naïve Bayes). Results The mean age was 77±7.9, and the average of length of hospital stay was 4.9 days ± 4.8. The best BOW model we found using discharge summaries (n=387) produced an Area Under the Receiver Operating Characteristics Curve (AUC) of 0.71 and F1 score of 0.65. The best Document Embedding model yielded an AUC of 0.65 and an F1 score of 0.61. Using nursing care notes as the unit of analysis (n = 2,046), the NLM/ML performed far better. The best BOW model on care plans found an AUC of 0.85 and F1 score of 0.77. The best Document Embedding produced an AUC of 0.83 and an F1 score of 0.75. In all cases we held out 33% of the data set for validation, repeating a random draw 10 times and averaging the performance results. Conclusions We conclude that nursing care plans are a better predictor of 30-day rehospitalization risk than discharge summaries. Because nursing care plans are shorter than discharge summaries, they have the added advantage of faster processing. Since the faster Document Embedding model's performance is comparable to that of BOW, we suggest its use in future work in the area of 30-day rehospitalization risk in Medicare patients with HF.;ID: 272560;;;;;;;;;;;1071-9164;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1071916420309702;https://www.sciencedirect.com/science/article/pii/S1071916420309702;https://doi.org/10.1016/j.cardfail.2020.09.023;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:880-mahmoudi2022decision;"Mahmoudi,Monirehalsadat;Shirzad,Khadijeh;Verter,Vedat";Decision support models for managing food aid supply chains: A systematic literature review;Socio-economic planning sciences;Socioecon.Plann.Sci.;2022;;Available online 8 February 2022;;;101255;;;We review existing decision support models (including statistical, simulation, and optimization models) aimed at addressing chronic food insecurity issue by enhancing the management of food aid supply chain systems. We exclusively classify the existing optimization-based decision support models into three different categories as per studies focusing on: (i) the facility location problem (decision making at the strategic level), (ii) the resource allocation problem (decision making at the tactical level), and (iii) the vehicle routing problem (decision making at the operational level). We also review various objective functions that have been defined for the foregoing problems whose focus are on equity, effectiveness, and efficiency of food distribution. We further summarize the constraints of these optimization problems which are related to the uncertainty of supply and demand, vehicles capacity, donated food items, frequency of food collections and deliveries, service sequence, and storage capacity of facilities. Finally, we review the solution methodologies that have been developed to solve the foregoing problems. In closing, we discuss potential opportunities for future research.;ID: 271736;;;;;;;;;;;0038-0121;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0038012122000337;https://www.sciencedirect.com/science/article/pii/S0038012122000337;https://doi.org/10.1016/j.seps.2022.101255;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:879-magazzino2021trilemma;"Magazzino,Cosimo;Alola,Andrew Adewale;Schneider,Nicolas";The trilemma of innovation, logistics performance, and environmental quality in 25 topmost logistics countries: A quantile regression evidence;Journal of Cleaner Production;J.Clean.Prod.;2021;;1-nov-21;322;;129050;;;While the deployment of technological innovation was able to avert a devastating global supply chain fallout arising from the impact of ravaging COronaVIrus Disease 19 (COVID-19) pandemic, little is known about potential environmental cost of such achievement. The aim of this paper is to identify the determinants of logistics performance and investigate its empirical linkages with economic and environmental indicators. We built a macro-level dataset for the top 25 ranked logistics countries from 2007 to 2018, conducting a set of panel data tests on cross-sectional dependence, stationarity and cointegration, to provide preliminary insights. Empirical estimates from Fully Modified Ordinary Least Squares (FMOLS), Generalized Method of Moments (GMM), and Quantile Regression (QR) model suggest that technological innovation, Human Development Index (HDI), urbanization, and trade openness significantly boost logistic performance, whereas employment and Gross Fixed Capital Formation (GFCF) fail to respond in such a desirable path. In turn, an increase in the Logistic Performance Index (LPI) is found to worsen economic growth. Finally, LPI exhibits a large positive effect on carbon emissions, which is congruent with a strand of the literature highlighting that the modern supply chain is far from being decarbonized. Thus, this evidence further suggest that more global efforts should be geared to attain a sustainable logistics.;ID: 271750;;;;;;;;;;;0959-6526;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S095965262103239X;https://www.sciencedirect.com/science/article/pii/S095965262103239X;https://doi.org/10.1016/j.jclepro.2021.129050;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:878-tyagi2021optimization;"Tyagi,Sakshi;Kumar Singh,Pawan;Kumar Tiwari,Arun;Pain,Pritam";Optimization and Comparison of Photovoltaic Parameters of Zinc Oxide (ZnO)/Graphene Oxide (GO) and Zinc Oxide (ZnO)/Carbon Quantum Dots (CQDs) Hybrid solar cell using Firefly Algorithm for application in Solar Trigeneration System in Commercial Buildings;Sustainable Energy Technologies and Assessments;;2021;;October 2021;47;;101357;;;Solar cells formed by the combination of organic and inorganic nanoparticle semiconductors are gaining interest in today’s era because of their major features, such as being suitable for scalable solar power conversion and being of low cost to produce desirable photovoltaic devices. This work is an attempt to develop two forms of hybrid solar cells, one by the amalgamation of zinc oxide and carbon quantum dots and second, by incorporating graphene oxide into zinc oxide. In this study, optimization, validation, and comparison of the photovoltaic parameters of the two nanostructured solar cells were attempted using the Artificial Neural Network technique. The ANN was instructed using the Firefly Algorithm. The input parameters are the spectral power density and temperature. The output parameters are the short circuit current (ISC), open-circuit voltage (VOC), fill factor of the cell (FF), and maximum voltage point prediction (VMPP). The results obtained for both the hybrid solar cells were compared and it was noted that the addition of CQDs to ZnO resulted in a considerable increase in the values of ISC, VOC and FF. The output obtained by the ANN trained model was compared with the results obtained from the experimental tests. It is observed that there is considerable agreement between the results obtained from the ANN and experimental values. The optimized values of VOC, ISC, FF, VMPP, Incident Photon to Current Efficiency (IPCE), Power Conversion Efficiency (PCE) for ZnO/GO are 0.623 V, 0.546 mA, 62%, 0.509 V, 36.95%, 9.12% respectively. Similarly values of VOC, ISC, FF, VMPP, IPCE, PCE for ZnO/CQDs are 0.636 V, 0.597 mA, 68%, 0.531 V, 40.72%, 10.35% respectively. Therefore, the precise values of all the stated parameters were obtained for both the cells after optimization and hybrid cells made of CQDs proves to be a better candidate. Also, the desirable value of the coefficient of correlation (R) is obtained, approximately close to 1, which means that the fabricated samples are efficient for useful applications. Proper execution of this algorithm on any model of the hybrid solar cell can lead to an evolution in the field of solar cells, resulting in the improvement of efficiency. These optimized cells have been utilized to propose two models of solar trigeneration system used in a commercial building North Service Centre (Olefin building) of Haldia Petrochemicals Limited, Haldia, West Bengal, India. The trigeneration systems were based on photovoltaic modules, heat pump and photovoltaic-thermal collectors. The objective is to provide enough electricity, domestic hot water, heating and cooling power to meet the typical demand of a single office building. System performance has been predicted and evaluated in the work. Considerations should be made regarding the physical constraints imposed by the environment where the installation has to be performed. The location should be carefully selected to achieve maximum efficiency.;ID: 282793;;;;;;;;;;;2213-1388;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2213138821003672;https://www.sciencedirect.com/science/article/pii/S2213138821003672;https://doi.org/10.1016/j.seta.2021.101357;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:877-li2022deep;"Li,Guohui;Dong,Ming;Ming,Lingfeng;Luo,Changyin;Yu,Han;Hu,Xiaofei;Zheng,Bolong";Deep reinforcement learning based ensemble model for rumor tracking;Information Systems;Inf Syst;2022;;January 2022;103;;101772;;;Fully automated rumor defeating is meaningful for reducing hazards of misinformation in social networks. As one of the automated approaches, content-based rumor defeating is a pipeline that could be divided into four sequential sub-tasks: detection, tracking, sentence classification, and veracity. Specifically, rumor tracking gathers relevant posts and filters unrelated posts for a potential rumor news, which is significant for rumor defeating and has not been studied extensively. However, the existing proposals only consider rumor tracking as an auxiliary task in multi-task learning without special optimization, therefore restraining the accuracy of tracking performance. To this end, we propose a deep reinforcement learning based ensemble model for rumor tracking (RL-ERT), which aggregates multiple components by a weight-tuning policy network, and utilizes specific social features to improve the performance. Finally, we conduct experiments on public datasets and the experimental results show the superiority of RL-ERT on efficiency and effectiveness.;ID: 271528;;;;;;;;;;;0306-4379;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0306437921000314;https://www.sciencedirect.com/science/article/pii/S0306437921000314;https://doi.org/10.1016/j.is.2021.101772;;;;;;;;;;;;;;;;;;;;;;;
